approach,problem,exp_id,total_iters,total_time,total_model_time,total_eval_time,best_fitness,best_x
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218558029860883032,500,1.8158657550811768,0.8354611396789551,0.9874238967895508,-63.72177505493164,"[np.float64(0.015953493790856643), np.float64(0.41563647575963436), np.float64(0.2885675723763761), np.float64(0.9988206336169906), np.float64(0.5741889403474121), np.float64(0.6162245117358459), np.float64(0.5736454844984681), np.float64(0.9372996487888478), np.float64(0.6639056631985312), np.float64(0.10778135116326637)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218558214583596216,500,1.8835103511810303,0.8389337062835693,1.0548319816589355,-63.92094802856445,"[np.float64(0.22545526204975574), np.float64(0.9615613158462822), np.float64(0.14749035080712292), np.float64(0.5986039416606159), np.float64(0.3801786333641266), np.float64(0.11976582518482182), np.float64(0.5853099410019215), np.float64(0.7318782398937316), np.float64(0.5266746425605422), np.float64(0.42746060686909093)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218558406026913343,500,2.6229591369628906,0.9661598205566406,1.6651501655578613,-57.931941986083984,"[np.float64(0.38839276178493876), np.float64(0.34742662167044835), np.float64(0.2585414863182838), np.float64(0.25600521090158723), np.float64(0.5419478753087721), np.float64(0.2733866827876418), np.float64(0.21357202703979217), np.float64(0.015643359569510795), np.float64(0.40319456759670635), np.float64(0.14643711524413505)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1772185586715521314892,500,2.3388216495513916,0.9779269695281982,1.3660264015197754,-65.82313537597656,"[np.float64(0.06290083103712196), np.float64(0.5868444604234906), np.float64(0.09879983451834362), np.float64(0.9939534836272202), np.float64(0.1985786460518264), np.float64(0.4061288893013697), np.float64(0.6867174210866599), np.float64(0.03722377052223236), np.float64(0.9128693240705524), np.float64(0.6306336930593722)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1772185589085050810985,500,13.422526359558105,1.3740439414978027,12.057107210159302,-66.8111801147461,"[np.float64(0.16663574403250558), np.float64(0.22640966930937212), np.float64(0.39994128734269785), np.float64(0.9508234110443451), np.float64(0.6971173439304903), np.float64(0.009441713377687178), np.float64(0.515397839784007), np.float64(0.256799105227441), np.float64(0.06233325657254429), np.float64(0.06010700944474334)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),17721856025430716468,500,5.673543691635132,1.2039330005645752,4.474839210510254,-64.69417572021484,"[np.float64(0.3985422700551662), np.float64(0.0273842628547053), np.float64(0.7005674851179609), np.float64(0.15728119552685327), np.float64(0.24568752074857736), np.float64(0.17288372428195187), np.float64(0.8859467323933448), np.float64(0.7669058555918817), np.float64(0.9882608598243185), np.float64(0.4451511755570825)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218560825686981850,500,5.306502342224121,1.0931017398834229,4.224400043487549,-64.38695526123047,"[np.float64(0.27849462343887177), np.float64(0.8370762826939318), np.float64(0.4166270231823709), np.float64(0.10872283195386656), np.float64(0.6598928231423082), np.float64(0.6101355088592894), np.float64(0.9252807943900759), np.float64(0.2181487121973107), np.float64(0.8405817805652739), np.float64(0.03980047050236801)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218561360072459974,500,3.2450456619262695,1.0621824264526367,2.1880040168762207,-64.72576904296875,"[np.float64(0.13059269475280955), np.float64(0.7610027664935453), np.float64(0.18136030200367692), np.float64(0.023026449997017306), np.float64(0.5023120404922146), np.float64(0.03546155499973036), np.float64(0.7251121524502544), np.float64(0.35915152254446814), np.float64(0.9043659411274865), np.float64(0.919105889245271)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1772185616875090811835,500,2.954674005508423,1.0554804801940918,1.908085584640503,-67.44203186035156,"[np.float64(0.9453020213916877), np.float64(0.05529504256077289), np.float64(0.39280443837134205), np.float64(0.8604288729604593), np.float64(0.716951422281608), np.float64(0.9899629681962323), np.float64(0.8872217101909302), np.float64(0.4868691434461372), np.float64(0.7054667489064587), np.float64(0.059487863693636234)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1772185619870133914109,500,11.235888719558716,1.232377290725708,10.010494470596313,-66.81233215332031,"[np.float64(0.9096126044946624), np.float64(0.8387246271028227), np.float64(0.3915591443027391), np.float64(0.5670824949283889), np.float64(0.17825248671615135), np.float64(0.877441047086234), np.float64(0.5233216022709016), np.float64(0.9812932991051908), np.float64(0.1065124235584457), np.float64(0.032042185522161315)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1772185631135389816268,500,2.707943916320801,1.025878667831421,1.6872334480285645,-60.87349319458008,"[np.float64(0.9434313277616009), np.float64(0.8475659100047588), np.float64(0.18160370518386648), np.float64(0.6957755386034385), np.float64(0.7319802813210906), np.float64(0.006656848249450564), np.float64(0.43867841806031627), np.float64(0.4517871386600073), np.float64(0.7884072776426674), np.float64(0.2804067718423079)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),1772185633873212315356,500,9.163612127304077,1.2046387195587158,7.9642555713653564,-66.58916473388672,"[np.float64(0.3038568751518731), np.float64(0.3987727219297881), np.float64(0.004149188587860397), np.float64(0.8018715133461956), np.float64(0.4857962992815179), np.float64(0.11815459186778565), np.float64(0.5494253914418452), np.float64(0.9742535947446246), np.float64(0.662034990914906), np.float64(0.03649101484709327)]"
