approach,problem,exp_id,total_iters,total_time,total_model_time,total_eval_time,best_fitness,best_x
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218745857854685069,500,2.6396896839141846,1.0400547981262207,1.6089365482330322,-67.38655090332031,"[np.float64(0.40395734209318246), np.float64(0.41276292474413534), np.float64(0.4781517560174513), np.float64(0.9852195839919792), np.float64(0.9374213626705828), np.float64(0.08243527786020532), np.float64(0.3191754670979662), np.float64(0.5996454228917182), np.float64(0.12469366047211494), np.float64(0.5282367842040407)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218746125186238427,500,2.0688886642456055,0.9817523956298828,1.0979177951812744,-66.10005187988281,"[np.float64(0.5365007029827988), np.float64(0.5701647552983277), np.float64(0.9428486536221036), np.float64(0.647256631332266), np.float64(0.1766957855879957), np.float64(0.6872802306803544), np.float64(0.9528363688436122), np.float64(0.035474679163629896), np.float64(0.4319041793150128), np.float64(0.25807541498134334)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218746335345039912,500,2.6804850101470947,1.0628900527954102,1.6343417167663574,-69.83538818359375,"[np.float64(0.9024811790198166), np.float64(0.13382228384983186), np.float64(0.9445496746189843), np.float64(0.4115652265084836), np.float64(0.8572844220977502), np.float64(0.769688297829064), np.float64(0.1452783510972967), np.float64(0.33882190246225774), np.float64(0.5919174801206142), np.float64(0.015479113897105878)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218746607403662226,500,2.100348949432373,0.9617035388946533,1.1437366008758545,-67.7156982421875,"[np.float64(0.6138961390931769), np.float64(0.05778553617136695), np.float64(0.7956928094974712), np.float64(0.28897772753853346), np.float64(0.3331037520453466), np.float64(0.11701669928441416), np.float64(0.9278696282293197), np.float64(0.6289805777819003), np.float64(0.9549078700855153), np.float64(0.34344510612711954)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218746820333154087,500,2.15041446685791,0.9988119602203369,1.1610965728759766,-68.20794677734375,"[np.float64(0.20815369129033812), np.float64(0.5354491548697633), np.float64(0.9594307871151673), np.float64(0.24766026619863923), np.float64(0.5759420623542907), np.float64(0.15422319326943446), np.float64(0.935406311185254), np.float64(0.8298523853227564), np.float64(0.911305584073974), np.float64(0.6010321064629882)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218747038725881391,500,2.153053045272827,0.9674472808837891,1.199012279510498,-66.61845397949219,"[np.float64(0.9360486219223579), np.float64(0.4895568678551603), np.float64(0.7587427748315532), np.float64(0.7363109989399115), np.float64(0.5604826289425384), np.float64(0.10850240962434998), np.float64(0.6080459974349944), np.float64(0.6112555927201283), np.float64(0.8434897625059007), np.float64(0.11158736690749982)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218747257893971670,500,2.188061475753784,0.9963171482086182,1.1977686882019043,-69.46087646484375,"[np.float64(0.20970962606780408), np.float64(0.3205593103097756), np.float64(0.5556802700099237), np.float64(0.9095448065510274), np.float64(0.6690027913154096), np.float64(0.5523873159300859), np.float64(0.8970462075961377), np.float64(0.08237305918920657), np.float64(0.8043461171959707), np.float64(0.2620540851206399)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218747480044567507,500,2.0973410606384277,0.980823278427124,1.1218414306640625,-69.46173095703125,"[np.float64(0.40953565595613883), np.float64(0.9431874422477554), np.float64(0.8890166870786391), np.float64(0.5881915856101791), np.float64(0.09736060757398246), np.float64(0.9582211551861496), np.float64(0.0013912190061619034), np.float64(0.15400714584895137), np.float64(0.7144216280527484), np.float64(0.1596050098823878)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218747692866511438,500,1.9882292747497559,0.9697730541229248,1.0241563320159912,-68.19248962402344,"[np.float64(0.2961395556344718), np.float64(0.9352773645358816), np.float64(0.4902364417597934), np.float64(0.5579578261966622), np.float64(0.09800548227774253), np.float64(0.5629506307985221), np.float64(0.615290320730819), np.float64(0.8305553580828978), np.float64(0.7001248751372178), np.float64(0.041694740218074955)]"
hyperopt/randomsearch,WW_sorted_surrogate(d=10),177218747894630315456,500,2.192513942718506,0.9915847778320312,1.2096025943756104,-69.8617935180664,"[np.float64(0.9611799014988518), np.float64(0.01307020864145203), np.float64(0.8158830517004526), np.float64(0.31375542621147656), np.float64(0.4594143908804935), np.float64(0.9227409087757514), np.float64(0.31335182252552196), np.float64(0.21470513460362894), np.float64(0.6343186251049402), np.float64(0.2779303831353299)]"
